nombre;cantidad
llave carburada SGV;16
llave carburada axis;7
Regulador de 5ta SGV;20
llave inyeccion SGV;11
emulador 6 cilindros;2
reset de combustible SGV;18
reset de combustible AXIS;10
rampa SGV;18
rampa TESMON;26
Regulador de 5ta ECOFUEL;34
3 en 1 AXIS;3
regulador de 4ta TESMON;1
regulador de 4ta poten. TESMON;1
regulador de 4ta Ecofuel;15
valvula carga motor;26
valvula cilindro;265
eletrocnica ECOFUEL;32
rampa Ecofuel;46
emulador 4 cilindros;7
chipmax blue;37
electronica SGV;3
30/244;10
40/273;7
50/273;0
60/244;2
58/340;0
65/340;20
70/355;3
80/355;3
90/406;2
